SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-43,90,90.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,90,90
FADER-guest,C0-56-27-18-69-66,802.11n,-44,90,90.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,90,90
FADER,C0-56-27-18-69-65,802.11n,-47,87,87.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-49,86,86.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:04 PM,86,86
WLANMTSU,D8-84-66-12-51-60,802.11ac,-65,66,66.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,66,66
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-66,64,64.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,64,64
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-74,32,32.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,32,32
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-76,28,28.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,28,28
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-80,20,20.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:00 PM,20,20
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-81,18,18.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,18,18
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-85,10,10.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,10,10
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-85,10,10.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:01 PM,10,10
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-86,8,8.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:00 PM,8,8
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-86,8,8.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:13:04 PM,3/14/2019 9:13:04 PM,1,3/14/2019 9:13:00 PM,8,8
