SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-51,85,85.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:45 PM,85,85
FADER-guest,C0-56-27-18-69-66,802.11n,-51,85,85.0,2.462,11,166,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:45 PM,85,85
FADER,C0-56-27-18-69-65,802.11n,-62,72,72.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,72,72
WLANMTSU,D8-84-66-13-10-00,802.11ac,-64,68,68.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:47 PM,68,68
WLANMTSU,D8-84-66-12-51-60,802.11ac,-69,50,50.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,50,50
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-75,30,30.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,30,30
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-75,30,30.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,30,30
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-78,24,24.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,24,24
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-79,22,22.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,22,22
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-82,16,16.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,16,16
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-82,16,16.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,16,16
,60-6B-FF-6A-CD-93,802.11g,-83,14,14.0,2.412,1,446,9,,,,WEP,WEP,54 Mbps,20 MHz,1 - 3,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,14,14
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-85,10,10.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,10,10
WLANMTSU,D8-84-66-13-14-C0,802.11ac,-87,6,6.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,6,6
WLANMTSU,D8-84-66-37-A3-18,802.11n,-88,4,4.0,2.412,1,122,9,Extreme Networks,,,None,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,2/22/2019 2:31:47 PM,2/22/2019 2:31:47 PM,1,2/22/2019 2:31:44 PM,4,4
