SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER-guest,C0-56-27-18-69-66,802.11n,-53,83,83.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:38 PM,83,83
FADER,C0-56-27-18-69-64,802.11n,-53,83,83.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:38 PM,83,83
FADER,C0-56-27-18-69-65,802.11n,-64,68,68.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,68,68
WLANMTSU,D8-84-66-13-10-00,802.11ac,-66,64,64.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:41 PM,64,64
WLANMTSU,D8-84-66-12-51-60,802.11ac,-69,50,50.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,50,50
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,28,28
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-82,16,16.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:38 PM,16,16
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-82,16,16.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,16,16
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-82,16,16.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,16,16
WLANMTSU,D8-84-66-13-14-C0,802.11ac,-86,8,8.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,8,8
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,6,6
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-87,6,6.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,2/22/2019 2:32:41 PM,2/22/2019 2:32:41 PM,1,2/22/2019 2:32:37 PM,6,6
