C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-47.333333333333336,-47.0,-54.5,-56.0,-55.6,-55.0,-53.2,-62.2,0
-45.0,-49.0,-58.666666666666664,-58.0,-55.4,-54.4,-53.2,-62.2,0
-50.0,-47.0,-54.25,-54.0,-55.0,-53.0,-52.4,-62.2,0
-51.4,-47.0,-54.8,-53.2,-54.2,-53.6,-52.4,-62.8,0
-51.0,-47.0,-53.0,-55.0,-53.8,-53.8,-53.2,-62.2,0
-46.5,-48.4,-56.0,-55.0,-54.0,-54.6,-52.8,-62.4,0
-45.8,-46.333333333333336,-54.333333333333336,-54.75,-54.4,-53.6,-52.0,-62.0,0
-45.8,-47.0,-55.5,-54.333333333333336,-54.2,-54.0,-52.0,-62.0,0
-47.8,-45.6,-55.0,-54.75,-54.6,-53.4,-52.0,-62.0,0
-45.5,-46.4,-54.0,-54.0,-54.2,-53.6,-52.0,-62.0,0
-45.25,-47.0,-54.5,-55.5,-54.2,-53.6,-52.0,-62.0,0
-45.25,-45.6,-55.0,-54.5,-54.2,-53.8,-52.0,-62.0,0
-45.25,-48.25,-54.333333333333336,-55.0,-54.2,-53.6,-52.0,-62.0,0
-45.5,-48.5,-55.0,-54.0,-54.25,-53.5,-52.0,-62.0,0
-47.666666666666664,-46.8,-54.75,-54.5,-54.2,-53.4,-52.0,-62.0,0
-45.0,-46.0,-54.333333333333336,-54.5,-54.2,-53.4,-52.0,-62.0,0
-46.0,-46.0,-54.25,-54.5,-54.25,-53.5,-52.0,-62.0,0
-47.2,-45.25,-55.0,-54.5,-54.2,-53.8,-52.0,-61.8,0
-45.2,-45.0,-54.0,-54.0,-54.2,-53.8,-52.2,-61.8,0
-45.6,-45.75,-56.0,-56.0,-54.4,-53.6,-52.0,-61.8,0
-44.25,-44.0,-46.0,-44.75,-49.4,-52.0,-55.0,-57.4,1
-44.6,-44.2,-44.75,-45.666666666666664,-50.0,-52.0,-55.0,-57.4,1
-44.333333333333336,-44.75,-46.0,-45.333333333333336,-49.4,-52.0,,-57.4,1
-44.0,-44.0,-45.5,-45.75,-49.8,-52.0,-55.0,-57.6,1
-48.333333333333336,-43.75,-46.0,-45.0,-50.0,-52.0,,-57.4,1
-45.0,-44.0,-46.0,-45.8,-49.4,-52.0,,-57.5,1
-44.5,-44.2,,-45.0,-50.0,-52.0,-55.0,-57.6,1
-44.0,-44.4,-46.0,-41.0,-50.0,-52.0,-54.5,-57.2,1
-44.0,-44.4,-45.666666666666664,-45.5,-49.4,-52.0,-55.0,-57.4,1
-44.25,-44.0,-43.0,-46.0,-49.2,-52.0,-54.0,-57.2,1
-45.0,-44.25,-47.0,-46.0,-49.5,-52.0,,-57.75,1
-44.333333333333336,-44.0,-45.0,-45.666666666666664,-50.0,-52.0,-55.0,-57.2,1
-44.0,-44.0,-45.0,-45.666666666666664,-49.6,-52.0,-55.0,-57.0,1
-44.0,-43.8,-45.0,-46.0,-50.0,-51.8,,-57.4,1
-44.75,-44.0,-46.0,-46.0,-49.75,-52.0,-55.0,-57.25,1
-44.0,-44.0,-46.0,-44.75,-49.8,-52.0,,-57.2,1
-44.0,-44.4,-45.666666666666664,-43.5,-49.4,-51.8,-55.0,-57.4,1
-44.0,-43.75,-46.0,-42.333333333333336,-49.8,-51.8,,-57.4,1
-44.0,-44.5,-44.0,-45.4,-49.8,-51.8,,-57.2,1
-44.0,-43.8,-46.0,-46.0,-50.0,-51.6,,-57.4,1
-44.0,-44.4,-43.5,-43.0,-49.4,-51.8,-54.5,-57.4,1
-44.0,-44.0,-46.0,-46.0,-49.2,-52.0,-55.0,-57.2,1
-44.0,-44.0,-44.8,-45.0,-49.4,-52.0,-55.0,-57.2,1
-44.0,-44.0,-43.5,-45.0,-49.8,-52.0,-54.0,-57.0,1
-44.333333333333336,-44.0,-42.666666666666664,-45.75,-49.2,-52.0,-55.0,-57.4,1
-44.0,-44.0,-43.5,-46.0,-49.4,-52.0,,-57.4,1
-44.5,-44.0,-45.0,-44.5,-49.6,-52.0,-55.0,-57.4,1
-44.0,-44.25,-43.333333333333336,-45.5,-49.2,-51.4,,-57.4,1
-44.5,-44.4,-44.5,-45.75,-49.6,-51.6,,-57.2,1
-46.2,-43.666666666666664,-44.0,-46.0,-49.4,-51.4,,-57.4,1
-44.0,-44.0,-43.0,-45.666666666666664,-49.6,-51.8,,-57.6,1
-44.5,-43.8,-44.0,-44.8,-49.75,-51.75,,-56.8,1
-45.0,-45.75,,-47.0,-49.4,-52.2,,-57.2,1
-45.666666666666664,-44.0,-45.0,-46.75,-49.8,-51.6,,-57.8,1
-44.25,-44.0,-45.25,-46.5,-49.4,-51.6,,-57.2,1
-44.5,-44.0,-43.5,-44.8,-49.4,-51.8,,-57.6,1
-44.0,-44.0,-46.0,-46.0,-49.8,-51.6,-55.0,-57.6,1
-44.666666666666664,-44.25,-46.0,-44.666666666666664,-49.8,-51.8,-54.0,-57.75,1
-45.0,-44.0,-45.0,-45.25,-49.4,-51.8,-55.0,-57.8,1
-44.0,-44.0,-42.75,-44.333333333333336,-49.75,-52.0,,-57.4,1
-45.0,-44.0,-44.333333333333336,-46.0,-49.25,-51.75,,-57.4,1
-44.5,-44.2,-41.333333333333336,-46.0,-49.6,-51.4,-55.0,-57.6,1
-47.2,-43.6,-46.0,-46.0,-49.4,-51.6,,-57.8,1
-47.75,-44.0,-43.5,-46.0,-49.6,-52.0,,-57.6,1
-44.5,-44.0,-41.5,-46.333333333333336,-49.4,-51.2,,-57.6,1
-45.25,-44.0,-44.5,-46.0,-49.6,-51.8,-54.0,-57.4,1
-44.25,-44.2,-43.333333333333336,-46.666666666666664,-49.6,-51.8,-55.0,-57.6,1
-44.25,-44.0,-43.0,-46.0,-49.25,-51.6,,-57.8,1
-44.333333333333336,-44.0,-46.0,-44.75,-49.8,-51.6,-55.0,-57.4,1
-44.4,-44.333333333333336,-45.75,-44.25,-49.4,-51.8,-54.0,-57.6,1
